Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
2017,Sweden,42565,37820,194.4736486,183474,34821,386,4.31,825,Europa
2018,Sweden,43956,38073,195.1230381,43731,9277,186,0.99,825,Europa
1996,Switzerland,15757,15464,124.3543325,620604,73557,740,39.39,919,Europa
1997,Switzerland,16788,16488,128.4056074,756775,85313,819,45.08,919,Europa
1998,Switzerland,17125,16735,129.363828,760920,85943,822,44.43,919,Europa
1999,Switzerland,17712,17202,131.1563952,786030,90956,834,44.38,919,Europa
2000,Switzerland,18380,17779,133.3379166,859460,94516,875,46.76,919,Europa
2001,Switzerland,17980,17297,131.5180596,821709,92764,854,45.7,919,Europa
2002,Switzerland,18962,18147,134.7108013,873341,97799,881,46.06,919,Europa
2003,Switzerland,21845,20527,143.2724677,981136,111012,933,44.91,919,Europa
2004,Switzerland,23865,22512,150.0399947,1079224,120628,979,45.22,919,Europa
2005,Switzerland,26520,24599,156.8406835,1127701,125955,1001,42.52,919,Europa
2006,Switzerland,28646,26269,162.0771421,1063348,125033,969,37.12,919,Europa
2007,Switzerland,30116,27594,166.1144184,1044971,128289,957,34.7,919,Europa
2008,Switzerland,31732,28542,168.9437776,1079660,134409,972,34.02,919,Europa
2009,Switzerland,33749,30431,174.4448337,1104539,139072,983,32.73,919,Europa
2010,Switzerland,35830,32278,179.6607915,1160280,149067,1006,32.38,919,Europa
2011,Switzerland,38044,34517,185.787513,1111230,149268,981,29.21,919,Europa
2012,Switzerland,41340,37173,192.8030083,1101395,153297,974,26.64,919,Europa
2013,Switzerland,43300,38553,196.3491788,929912,139683,889,21.48,919,Europa
2014,Switzerland,44316,40065,200.162434,786447,123349,814,17.75,919,Europa
2015,Switzerland,45472,40623,201.5514823,665047,104395,749,14.63,919,Europa
2016,Switzerland,46424,41537,203.8062806,452287,78065,612,9.74,919,Europa
2017,Switzerland,48452,42686,206.605905,238525,44383,441,4.92,919,Europa
2018,Switzerland,48317,41973,204.8731315,56855,12623,210,1.18,919,Europa
1996,Taiwan,10802,10708,103.4794666,193326,35988,397,17.9,475,Asia
1997,Taiwan,11882,11798,108.6185988,216751,40859,419,18.24,475,Asia
1998,Taiwan,12358,12264,110.7429456,232460,43393,435,18.81,475,Asia
1999,Taiwan,12804,12693,112.6632149,260029,48857,460,20.31,475,Asia
2000,Taiwan,13652,13486,116.1292384,298567,54081,494,21.87,475,Asia
2001,Taiwan,15393,15135,123.0243878,333561,62007,521,21.67,475,Asia
2002,Taiwan,16440,16124,126.9803134,374895,70455,552,22.8,475,Asia
2003,Taiwan,18531,18007,134.1901636,420661,77017,586,22.7,475,Asia
2004,Taiwan,21742,21296,145.9314908,475995,87318,623,21.89,475,Asia
2005,Taiwan,25891,25246,158.889899,526254,96770,655,20.33,475,Asia
2006,Taiwan,29258,28459,168.6979549,526549,99845,653,18,475,Asia
2007,Taiwan,32507,31650,177.9044687,536421,103239,658,16.5,475,Asia
2008,Taiwan,35128,34039,184.4966124,577620,111098,683,16.44,475,Asia
2009,Taiwan,38103,36829,191.9088325,598131,111563,698,15.7,475,Asia
2010,Taiwan,40709,39280,198.1918263,589968,116614,688,14.49,475,Asia
2011,Taiwan,43423,41853,204.5800577,592593,113912,692,13.65,475,Asia
2012,Taiwan,43579,41760,204.3526364,558352,101285,676,12.81,475,Asia
2013,Taiwan,44159,42251,205.5504804,460250,86646,611,10.42,475,Asia
2014,Taiwan,42290,40506,201.2610245,372778,69308,551,8.81,475,Asia
2015,Taiwan,38571,36732,191.6559417,287643,52765,485,7.46,475,Asia
2016,Taiwan,37713,35668,188.8597363,201920,37178,406,5.35,475,Asia
2017,Taiwan,36757,34441,185.5828656,100992,20168,284,2.75,475,Asia
2018,Taiwan,36691,33455,182.9070802,22186,5300,130,0.6,475,Asia
1996,Turkey,5789,5608,74.88658091,76309,20186,237,13.18,402,Europa
1997,Turkey,6199,6001,77.46612163,90250,24203,257,14.56,402,Europa
1998,Turkey,6763,6472,80.44874144,106201,26762,282,15.7,402,Europa
1999,Turkey,7979,7607,87.21811738,127160,33205,307,15.94,402,Europa
2000,Turkey,8185,7738,87.96590248,157478,36605,348,19.24,402,Europa
2001,Turkey,9972,9483,97.38069624,184086,42920,376,18.46,402,Europa
2002,Turkey,12708,12151,110.2315744,239411,55383,429,18.84,402,Europa
2003,Turkey,15864,15084,122.8169369,292272,65339,476,18.42,402,Europa
2004,Turkey,18934,18061,134.39122,359242,77544,531,18.97,402,Europa
2005,Turkey,20978,19942,141.2161464,379849,79826,548,18.11,402,Europa
2006,Turkey,23428,22141,148.7985215,371280,79305,540,15.85,402,Europa
2007,Turkey,25610,24307,155.9070236,418429,84089,578,16.34,402,Europa
2008,Turkey,26526,25086,158.3856054,392736,84289,555,14.81,402,Europa
2009,Turkey,30839,29249,171.0233902,409477,88487,567,13.28,402,Europa
2010,Turkey,33325,31471,177.4006764,390925,89299,549,11.73,402,Europa
2011,Turkey,34926,32970,181.5764302,365649,84825,530,10.47,402,Europa
2012,Turkey,36766,34344,185.3213425,361830,79126,532,9.84,402,Europa
2013,Turkey,40302,37109,192.6369643,324004,75078,499,8.04,402,Europa
2014,Turkey,41400,37805,194.4350791,285388,64033,470,6.89,402,Europa
2015,Turkey,44529,40243,200.6065802,248370,51983,443,5.58,402,Europa
2016,Turkey,47138,43196,207.8364742,182683,39884,378,3.88,402,Europa
2017,Turkey,44584,40769,201.9133478,88983,21720,259,2,402,Europa
2018,Turkey,45582,39847,199.6171335,21886,6299,125,0.48,402,Europa
1996,Ukraine,5697,5690,75.43208866,34796,9158,160,6.11,252,Europa
1997,Ukraine,6234,6228,78.91767863,38287,10884,166,6.14,252,Europa
1998,Ukraine,6582,6573,81.07404023,40572,11030,172,6.16,252,Europa
1999,Ukraine,6248,6239,78.98734076,51000,13156,195,8.16,252,Europa
2000,Ukraine,6393,6352,79.69943538,48510,12928,189,7.59,252,Europa
2001,Ukraine,7716,7670,87.57853618,51606,14759,192,6.69,252,Europa
2002,Ukraine,7062,7013,83.74365648,54849,14868,200,7.77,252,Europa
2003,Ukraine,7103,7042,83.91662529,60545,14820,214,8.52,252,Europa
2004,Ukraine,7179,7115,84.35045939,64341,15682,221,8.96,252,Europa
2005,Ukraine,7496,7409,86.07554821,65471,16656,221,8.73,252,Europa
2006,Ukraine,6783,6693,81.81075724,58796,14761,210,8.67,252,Europa
2007,Ukraine,6981,6864,82.84926071,63209,15631,218,9.05,252,Europa
2008,Ukraine,7339,7182,84.74668135,64454,15761,221,8.78,252,Europa
2009,Ukraine,7187,7063,84.04165634,51745,15134,191,7.2,252,Europa
2010,Ukraine,7728,7497,86.58521814,61961,16124,214,8.02,252,Europa
2011,Ukraine,8349,8071,89.83874443,73250,18026,235,8.77,252,Europa
2012,Ukraine,9131,8817,93.89888178,69777,18276,227,7.64,252,Europa
2013,Ukraine,10134,9842,99.2068546,60668,18691,205,5.99,252,Europa
2014,Ukraine,10434,10089,100.4440143,58845,17032,204,5.64,252,Europa
2015,Ukraine,10592,10196,100.9752445,53584,15186,196,5.06,252,Europa
2016,Ukraine,11107,10777,103.8123307,41837,12883,170,3.77,252,Europa
2017,Ukraine,12276,11716,108.240473,23280,9537,117,1.9,252,Europa
2018,Ukraine,13514,12914,113.6397818,6080,2601,59,0.45,252,Europa
1996,United Kingdom,90009,85330,292.1129918,2862678,641591,1490,31.8,1373,Europa
1997,United Kingdom,95082,90285,300.4746246,3150117,695854,1567,33.13,1373,Europa
1998,United Kingdom,96585,90969,301.6106762,3395482,739102,1630,35.16,1373,Europa
1999,United Kingdom,97303,90378,300.6293399,3528001,759597,1664,36.26,1373,Europa
