Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
1997,Mexico,5500,5436,73.72923436,109566,21693,296,19.92,411,Sur America
1998,Mexico,5946,5873,76.63550091,121826,24862,311,20.49,411,Sur America
1999,Mexico,6415,6305,79.40403012,137312,27435,331,21.4,411,Sur America
2000,Mexico,6707,6570,81.05553652,157518,28908,359,23.49,411,Sur America
2001,Mexico,7157,7011,83.73171442,152601,30250,350,21.32,411,Sur America
2002,Mexico,7847,7663,87.53856293,161102,32115,359,20.53,411,Sur America
2003,Mexico,9075,8808,93.85094565,182396,36925,381,20.1,411,Sur America
2004,Mexico,9826,9571,97.83148777,205222,38444,408,20.89,411,Sur America
2005,Mexico,11409,10975,104.7616342,215696,40267,419,18.91,411,Sur America
2006,Mexico,12709,12253,110.6932699,211196,38870,415,16.62,411,Sur America
2007,Mexico,13150,12592,112.2140811,207112,40571,408,15.75,411,Sur America
2008,Mexico,14423,13759,117.2987638,227668,44741,428,15.79,411,Sur America
2009,Mexico,15426,14556,120.6482491,217073,42078,418,14.07,411,Sur America
2010,Mexico,16273,15205,123.3085561,224212,43824,425,13.78,411,Sur America
2011,Mexico,17298,16223,127.3695411,224318,43489,425,12.97,411,Sur America
2012,Mexico,18689,17304,131.5446692,233964,41968,438,12.52,411,Sur America
2013,Mexico,19803,18233,135.0296264,195077,40234,394,9.85,411,Sur America
2014,Mexico,21364,19689,140.3174971,171345,34899,369,8.02,411,Sur America
2015,Mexico,21582,19922,141.1453152,140475,28671,334,6.51,411,Sur America
2016,Mexico,22998,21115,145.3100134,105340,21950,289,4.58,411,Sur America
2017,Mexico,24318,22302,149.3385416,57619,12784,212,2.37,411,Sur America
2018,Mexico,25290,22515,150.0499917,12864,3198,98,0.51,411,Sur America
1996,South Africa,4629,4519,67.22350779,85712,18083,260,18.52,423,Africa
1997,South Africa,4867,4706,68.60029154,93128,19170,272,19.13,423,Africa
1998,South Africa,4904,4718,68.68769904,106293,18862,296,21.67,423,Africa
1999,South Africa,5148,4972,70.51241026,133890,21706,335,26.01,423,Africa
2000,South Africa,5207,4964,70.45565982,126747,24268,320,24.34,423,Africa
2001,South Africa,5404,5123,71.57513535,124213,24900,315,22.99,423,Africa
2002,South Africa,5977,5659,75.22632518,130648,28101,320,21.86,423,Africa
2003,South Africa,6374,5923,76.9610291,148462,30352,344,23.29,423,Africa
2004,South Africa,7288,6803,82.48030068,185434,35438,387,25.44,423,Africa
2005,South Africa,7987,7324,85.58037158,200112,36940,404,25.05,423,Africa
2006,South Africa,8912,8189,90.49309366,185935,38006,385,20.86,423,Africa
2007,South Africa,9425,8509,92.24424101,189558,40656,386,20.11,423,Africa
2008,South Africa,10309,9349,96.69022701,209825,44565,407,20.35,423,Africa
2009,South Africa,11808,10579,102.8542658,212255,45532,408,17.98,423,Africa
2010,South Africa,12959,11588,107.6475731,245090,52523,439,18.91,423,Africa
2011,South Africa,14448,13063,114.2934819,231239,52344,423,16,423,Africa
2012,South Africa,16291,14471,120.2954696,249323,52326,444,15.3,423,Africa
2013,South Africa,17772,15862,125.9444322,221414,50756,413,12.46,423,Africa
2014,South Africa,20522,18620,136.4551208,204273,45666,398,9.95,423,Africa
2015,South Africa,20618,18481,135.9448418,173081,38284,367,8.39,423,Africa
2016,South Africa,22664,20353,142.6639408,132542,29897,320,5.85,423,Africa
2017,South Africa,24223,21421,146.3591473,70958,17466,231,2.93,423,Africa
2018,South Africa,25150,21843,147.7937752,17495,5278,111,0.7,423,Africa
