Instituto,Articulos,Pais
ADV TECHNOL APPLICAT CTR CENATAV,72,Cuba
CTR INVEST ENERGET MEDIOAMBIENTALES TECNOL CIEM,72,Cuba
INST CARDIOL CIRUGIA CARDIOVASC,71,Cuba
FINLAY,233,Cuba
MINSAP,69,Cuba
INST NACL ONCOL RADIOBIOL,68,Cuba
MINIST CIENCIA TECNOL MEDIO AMBIENTE,68,Cuba
INRAE,64,Cuba
ICIDCA,61,Cuba
UNIV CAMAGUEY IGNACIO AGRAMONTE LOYNAZ,59,Cuba
MINIST PUBL HLTH CUBA,58,Cuba
UNIV. GUANTANAMO,58,Cuba
CENSA,117,Cuba
UNIV CIENCIAS MED VILLA CLARA,57,Cuba
UNIVERSITY OF SPLIT,298,Croacia
KANGNUNG WONJU NATIONAL UNIVERSITY,297,Corea del Sur
YONSEI UNIVERSITY,297,Corea del Sur
SEJONG UNIVERSITY,295,Corea del Sur
KOREA INSTITUTE OF SCIENCE TECHNOLOGY INFORMATION KISTI,270,Corea del Sur
CENTRAL CHINA NORMAL UNIVERSITY,296,China
CHINA INSTITUTE OF ATOMIC ENERGY,224,China
CHINESE ACADEMY OF SCIENCES,160,China
SHANGHAI INSTITUTE OF APPLIED PHYSICS CAS,90,China
UNIVERSITY OF CAGLIARI,274,Canada
MCGILL UNIVERSITY,94,Canada
UNIVERSIDADE DE SAO PAULO,876,Brazil
UNIVERSIDADE ESTADUAL DE CAMPINAS,493,Brazil
UNIVERSIDADE ESTADUAL PAULISTA,177,Brazil
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,160,Brazil
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,124,Brazil
FUNDACAO OSWALDO CRUZ,89,Brazil
GHENT UNIVERSITY,240,Belgica
YEREVAN PHYSICS INSTITUTE,295,Armenia
NATIONAL INSTITUTE FOR LASER PLASMA RADIATION PHYSICS ROMANIA,294,Armenia
GOETHE UNIVERSITY FRANKFURT,361,Alemania
RUPRECHT KARLS UNIVERSITY HEIDELBERG,353,Alemania
EBERHARD KARLS UNIVERSITY OF TUBINGEN,312,Alemania
GSI HELMHOLTZ CENTER FOR HEAVY ION RESEARCH,311,Alemania
UNIVERSITY OF MUNSTER,307,Alemania
TECHNICAL UNIVERSITY OF MUNICH,241,Alemania
UNIVERSITY OF BONN,175,Alemania
MAX PLANCK SOCIETY,88,Alemania
UNIV PINAR DEL RIO HERMANOS SAIZ MONTES DE OCA,159,Cuba
MED UNIV HAVANA,103,Cuba
CIBER CENTRO DE INVESTIGACION BIOMEDICA EN RED,101,Cuba
UNIV MED SCI,98,Cuba
