Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
2015,Morocco,4898,4532,67.32013072,31304,5838,160,6.39,179,Africa
2016,Morocco,6037,5673,75.31932023,28260,6172,149,4.68,179,Africa
2017,Morocco,6847,6460,80.37412519,13153,3744,97,1.92,179,Africa
2018,Morocco,7081,6385,79.906195,3864,971,54,0.55,179,Africa
1996,Nigeria,1169,1163,34.10278581,11707,2772,95,10.01,181,Africa
1997,Nigeria,1196,1180,34.35112807,14233,3400,104,11.9,181,Africa
1998,Nigeria,1150,1133,33.66006536,14509,3085,107,12.62,181,Africa
1999,Nigeria,1184,1168,34.17601498,16144,3796,111,13.64,181,Africa
2000,Nigeria,1298,1272,35.665109,17940,3935,118,13.82,181,Africa
2001,Nigeria,1273,1254,35.41186242,17566,3833,117,13.8,181,Africa
2002,Nigeria,1497,1470,38.34057903,18568,4401,119,12.4,181,Africa
2003,Nigeria,1688,1637,40.45985665,26858,5310,147,15.91,181,Africa
2004,Nigeria,1875,1841,42.90687591,26778,5604,146,14.28,181,Africa
2005,Nigeria,2346,2272,47.66550115,35093,7359,167,14.96,181,Africa
2006,Nigeria,3186,3095,55.63272418,34195,8087,162,10.73,181,Africa
2007,Nigeria,3666,3572,59.76621119,40911,9092,178,11.16,181,Africa
2008,Nigeria,4010,3854,62.08059278,41364,8658,181,10.32,181,Africa
2009,Nigeria,4925,4723,68.72408603,40245,8859,177,8.17,181,Africa
2010,Nigeria,5375,5184,72,46202,8906,193,8.6,181,Africa
2011,Nigeria,6044,5806,76.19711281,44977,8474,191,7.44,181,Africa
2012,Nigeria,5881,5543,74.45132638,46608,7831,197,7.93,181,Africa
2013,Nigeria,5920,5456,73.86474125,28919,6671,149,4.88,181,Africa
2014,Nigeria,6292,5823,76.30858405,33580,7043,163,5.34,181,Africa
2015,Nigeria,6099,5626,75.00666637,37988,6372,178,6.23,181,Africa
2016,Nigeria,7026,6423,80.14362108,29004,5633,153,4.13,181,Africa
2017,Nigeria,7632,6877,82.92767934,17182,4111,114,2.25,181,Africa
2018,Nigeria,9299,8346,91.35644476,4539,1695,53,0.49,181,Africa
1996,Pakistan,926,912,30.19933774,9705,2235,86,10.48,247,Asia
1997,Pakistan,1012,991,31.48015248,11733,3047,93,11.59,247,Asia
1998,Pakistan,1187,1178,34.3220046,13990,3305,103,11.79,247,Asia
1999,Pakistan,1219,1190,34.49637662,14186,3214,105,11.64,247,Asia
2000,Pakistan,1287,1246,35.29872519,17851,4076,117,13.87,247,Asia
2001,Pakistan,1493,1417,37.64306045,18058,4082,118,12.1,247,Asia
2002,Pakistan,1645,1568,39.59797975,20428,5569,122,12.42,247,Asia
2003,Pakistan,1890,1771,42.08325083,27644,6152,147,14.63,247,Asia
2004,Pakistan,2166,2035,45.11097427,32530,8089,156,15.02,247,Asia
2005,Pakistan,2950,2777,52.69724851,38431,9268,171,13.03,247,Asia
2006,Pakistan,3593,3403,58.33523806,45321,11514,184,12.61,247,Asia
2007,Pakistan,4377,4169,64.56779383,60646,14701,214,13.86,247,Asia
2008,Pakistan,5278,5067,71.18286311,76266,19147,239,14.45,247,Asia
2009,Pakistan,6547,6272,79.19595949,77768,19840,241,11.88,247,Asia
2010,Pakistan,7635,7327,85.59789717,90849,23050,260,11.9,247,Asia
2011,Pakistan,9302,8944,94.57272334,97522,25534,268,10.48,247,Asia
2012,Pakistan,10138,9656,98.26494797,110692,24561,293,10.92,247,Asia
2013,Pakistan,11623,11146,105.5746182,112494,26505,293,9.68,247,Asia
2014,Pakistan,11906,11347,106.5222981,103790,25935,279,8.72,247,Asia
2015,Pakistan,12570,11946,109.2977584,94075,24016,265,7.48,247,Asia
2016,Pakistan,14787,14033,118.460964,83725,24279,244,5.66,247,Asia
2017,Pakistan,17528,16443,128.2302616,54613,17232,193,3.12,247,Asia
2018,Pakistan,20548,18885,137.4227055,13842,5326,92,0.67,247,Asia
1996,Peru,204,201,14.17744688,3910,374,59,19.17,212,Sur America
1997,Peru,225,223,14.93318452,4978,546,67,22.12,212,Sur America
1998,Peru,203,198,14.07124728,6292,550,76,31,212,Sur America
1999,Peru,271,265,16.2788206,7835,792,84,28.91,212,Sur America
2000,Peru,314,308,17.54992877,9409,896,92,29.96,212,Sur America
2001,Peru,340,331,18.1934054,9168,863,91,26.96,212,Sur America
2002,Peru,342,329,18.13835715,8365,881,87,24.46,212,Sur America
2003,Peru,485,468,21.63330765,16286,1689,121,33.58,212,Sur America
2004,Peru,525,503,22.42766149,16792,1863,122,31.98,212,Sur America
2005,Peru,598,563,23.72762104,16170,1849,120,27.04,212,Sur America
2006,Peru,880,814,28.53068524,16936,1928,123,19.25,212,Sur America
2007,Peru,813,766,27.67670501,20935,1998,138,25.75,212,Sur America
2008,Peru,864,811,28.47806173,22050,2298,141,25.52,212,Sur America
2009,Peru,1046,943,30.70830507,22087,2572,140,21.12,212,Sur America
2010,Peru,1140,1030,32.09361307,32078,2709,171,28.14,212,Sur America
2011,Peru,1307,1187,34.45286635,27798,2726,158,21.27,212,Sur America
2012,Peru,1419,1274,35.6931366,25525,2900,150,17.99,212,Sur America
2013,Peru,1581,1376,37.09447398,24174,2906,146,15.29,212,Sur America
2014,Peru,1769,1580,39.74921383,23955,2932,145,13.54,212,Sur America
2015,Peru,2100,1879,43.3474336,25189,2315,151,11.99,212,Sur America
2016,Peru,2468,2176,46.64761516,18811,2015,130,7.62,212,Sur America
2017,Peru,2896,2573,50.72474741,9784,1283,92,3.38,212,Sur America
2018,Peru,3385,2953,54.34151268,1852,412,38,0.55,212,Sur America
1996,Philippines,463,457,21.37755833,13920,1374,112,30.06,224,Asia
1997,Philippines,505,504,22.44994432,17698,1601,127,35.05,224,Asia
1998,Philippines,507,500,22.36067977,15872,1356,120,31.31,224,Asia
1999,Philippines,516,510,22.58317958,16699,1462,123,32.36,224,Asia
2000,Philippines,593,586,24.20743687,19532,2079,132,32.94,224,Asia
2001,Philippines,485,473,21.74856317,12610,1140,107,26,224,Asia
2002,Philippines,642,632,25.13961018,19673,1736,134,30.64,224,Asia
2003,Philippines,736,673,25.94224354,19573,1665,134,26.59,224,Asia
2004,Philippines,705,671,25.90366769,21601,1706,141,30.64,224,Asia
2005,Philippines,920,830,28.80972058,25273,2100,152,27.47,224,Asia
2006,Philippines,916,840,28.98275349,24179,2154,148,26.4,224,Asia
2007,Philippines,1019,904,30.06659276,25768,2178,154,25.29,224,Asia
2008,Philippines,1099,979,31.28897569,22691,2238,143,20.65,224,Asia
2009,Philippines,1257,1087,32.96968304,29224,2823,162,23.25,224,Asia
2010,Philippines,1355,1192,34.525353,28778,2630,162,21.24,224,Asia
2011,Philippines,1633,1513,38.89730068,29972,3153,164,18.35,224,Asia
2012,Philippines,1782,1541,39.25557285,26440,2735,154,14.84,224,Asia
2013,Philippines,1959,1748,41.80908992,23385,2675,144,11.94,224,Asia
2014,Philippines,2255,2000,44.72135955,20509,2865,133,9.09,224,Asia
2015,Philippines,2727,2481,49.80963762,24169,2747,146,8.86,224,Asia
2016,Philippines,3100,2851,53.3947563,19017,1986,131,6.13,224,Asia
2017,Philippines,3377,3090,55.58776844,9615,1246,91,2.85,224,Asia
2018,Philippines,3775,3398,58.29236657,2205,375,43,0.58,224,Asia
1996,Puerto Rico,462,461,21.47091055,15871,947,122,34.35,208,Sur America
1997,Puerto Rico,498,495,22.24859546,14032,663,116,28.18,208,Sur America
1998,Puerto Rico,502,493,22.20360331,15112,868,119,30.1,208,Sur America
1999,Puerto Rico,471,461,21.47091055,18217,869,132,38.68,208,Sur America
2000,Puerto Rico,464,460,21.44761059,14801,913,118,31.9,208,Sur America
2001,Puerto Rico,457,449,21.1896201,12999,986,110,28.44,208,Sur America
2002,Puerto Rico,459,445,21.09502311,13727,933,113,29.91,208,Sur America
2003,Puerto Rico,636,617,24.8394847,15331,1024,120,24.11,208,Sur America
2004,Puerto Rico,623,600,24.49489743,18536,1291,131,29.75,208,Sur America
2005,Puerto Rico,777,755,27.47726333,24790,1255,153,31.9,208,Sur America
2006,Puerto Rico,966,923,30.38091506,23002,1412,147,23.81,208,Sur America
2007,Puerto Rico,926,889,29.81610303,19854,1126,137,21.44,208,Sur America
2008,Puerto Rico,1035,984,31.36877428,22904,1377,147,22.13,208,Sur America
2009,Puerto Rico,932,894,29.89983278,25431,1215,156,27.29,208,Sur America
2010,Puerto Rico,1003,945,30.7408523,24308,1126,152,24.24,208,Sur America
2011,Puerto Rico,983,941,30.6757233,21460,994,143,21.83,208,Sur America
2012,Puerto Rico,978,902,30.03331484,25112,920,156,25.68,208,Sur America
2013,Puerto Rico,848,784,28,16067,680,124,18.95,208,Sur America
2014,Puerto Rico,856,794,28.17800561,12998,624,111,15.18,208,Sur America
2015,Puerto Rico,779,706,26.57066051,12271,441,109,15.75,208,Sur America
2016,Puerto Rico,859,779,27.91057147,8133,345,88,9.47,208,Sur America
2017,Puerto Rico,849,765,27.65863337,2722,182,50,3.21,208,Sur America
2018,Puerto Rico,797,702,26.4952826,765,76,26,0.96,208,Sur America
1996,Qatar,70,69,8.306623863,561,22,23,8.01,147,Asia
1997,Qatar,65,64,8,635,22,25,9.77,147,Asia
1998,Qatar,77,76,8.717797887,651,48,25,8.45,147,Asia
1999,Qatar,67,65,8.062257748,1306,46,35,19.49,147,Asia
2000,Qatar,66,65,8.062257748,568,38,23,8.61,147,Asia
2001,Qatar,117,109,10.44030651,1097,67,32,9.38,147,Asia
2002,Qatar,127,125,11.18033989,1225,72,34,9.65,147,Asia
2003,Qatar,164,156,12.489996,2716,161,51,16.56,147,Asia
2004,Qatar,208,198,14.07124728,4028,297,61,19.37,147,Asia
2005,Qatar,269,259,16.09347694,3310,282,55,12.3,147,Asia
2006,Qatar,306,295,17.17556404,4157,351,62,13.58,147,Asia
2007,Qatar,430,403,20.0748599,4595,399,65,10.69,147,Asia
2008,Qatar,552,519,22.7815715,7063,806,79,12.8,147,Asia
2009,Qatar,642,602,24.53568829,10154,863,96,15.82,147,Asia
2010,Qatar,812,759,27.54995463,14152,1553,112,17.43,147,Asia
2011,Qatar,977,929,30.47950131,14587,1846,113,14.93,147,Asia
2012,Qatar,1361,1276,35.7211422,17291,2432,122,12.7,147,Asia
2013,Qatar,1953,1790,42.3083916,26146,3543,150,13.39,147,Asia
2014,Qatar,2823,2602,51.00980298,38448,4446,184,13.62,147,Asia
2015,Qatar,3279,2991,54.69003566,44965,4721,201,13.71,147,Asia
2016,Qatar,3838,3498,59.14389233,35843,4347,177,9.34,147,Asia
2017,Qatar,3811,3396,58.27520914,17327,2576,121,4.55,147,Asia
2018,Qatar,3971,3550,59.58187644,4140,780,58,1.04,147,Asia
1996,Romania,2238,2222,47.138095,20805,4765,127,9.3,271,Europa
1997,Romania,2648,2640,51.38093031,26352,5270,145,9.95,271,Europa
1998,Romania,2777,2758,52.51666402,30778,5652,159,11.08,271,Europa
1999,Romania,2821,2806,52.97169055,30568,5709,158,10.84,271,Europa
2000,Romania,3090,3063,55.34437641,37713,6929,175,12.2,271,Europa
2001,Romania,3133,3113,55.79426494,36469,7333,171,11.64,271,Europa
2002,Romania,3299,3258,57.07889277,44163,7748,191,13.39,271,Europa
2003,Romania,3749,3698,60.81118318,46631,9060,194,12.44,271,Europa
2004,Romania,3842,3806,61.69278726,53250,9395,209,13.86,271,Europa
2005,Romania,4648,4543,67.40178039,60354,11379,221,12.98,271,Europa
2006,Romania,4890,4804,69.3108938,54195,10814,208,11.08,271,Europa
2007,Romania,6554,6407,80.04373804,66835,14036,230,10.2,271,Europa
2008,Romania,8760,8601,92.74157644,85008,18259,258,9.7,271,Europa
2009,Romania,11446,11226,105.9528197,80595,21872,242,7.04,271,Europa
2010,Romania,13307,13023,114.1183596,107527,27240,283,8.08,271,Europa
2011,Romania,13621,13223,114.991304,106420,25779,284,7.81,271,Europa
2012,Romania,14589,14050,118.5326959,114494,26778,296,7.85,271,Europa
2013,Romania,15424,14733,121.3795699,112635,26903,293,7.3,271,Europa
2014,Romania,15123,14496,120.3993355,100174,22959,278,6.62,271,Europa
2015,Romania,15425,14690,121.2023102,82761,20298,250,5.37,271,Europa
2016,Romania,15398,14461,120.2538981,68923,16152,230,4.48,271,Europa
2017,Romania,16381,15275,123.5920709,36032,10116,161,2.2,271,Europa
2018,Romania,15227,13982,118.2455073,9115,2649,80,0.6,271,Europa
1996,Saudi Arabia,2013,1973,44.41846463,25716,3348,150,12.77,309,Asia
1997,Saudi Arabia,2081,2030,45.0555213,27390,3524,154,13.16,309,Asia
1998,Saudi Arabia,2081,2025,45,30138,3659,163,14.48,309,Asia
1999,Saudi Arabia,1898,1827,42.74342055,28833,3346,160,15.19,309,Asia
2000,Saudi Arabia,2015,1945,44.10215414,31985,3564,169,15.87,309,Asia
2001,Saudi Arabia,1956,1892,43.49712634,31113,4207,164,15.91,309,Asia
2002,Saudi Arabia,2083,1977,44.46346815,37295,4630,181,17.9,309,Asia
2003,Saudi Arabia,2391,2281,47.75981575,39529,4726,187,16.53,309,Asia
2004,Saudi Arabia,2382,2275,47.69696007,37494,4991,180,15.74,309,Asia
2005,Saudi Arabia,2487,2375,48.73397172,34110,4597,172,13.72,309,Asia
2006,Saudi Arabia,2713,2589,50.88221693,34701,4592,174,12.79,309,Asia
2007,Saudi Arabia,2931,2788,52.80151513,37796,5633,179,12.9,309,Asia
2008,Saudi Arabia,3411,3209,56.64803615,42388,6189,190,12.43,309,Asia
2009,Saudi Arabia,4536,4328,65.78753681,60586,9131,227,13.36,309,Asia
2010,Saudi Arabia,6483,6171,78.55571271,103384,15756,296,15.95,309,Asia
2011,Saudi Arabia,9556,9167,95.74445154,158809,23978,367,16.62,309,Asia
2012,Saudi Arabia,12370,11795,108.6047881,202452,29725,416,16.37,309,Asia
2013,Saudi Arabia,15318,14650,121.0371844,220566,34710,431,14.4,309,Asia
2014,Saudi Arabia,18125,17329,131.6396597,241750,39318,450,13.34,309,Asia
2015,Saudi Arabia,19750,18837,137.2479508,231727,37775,440,11.73,309,Asia
2016,Saudi Arabia,21054,20026,141.5132503,167488,32139,368,7.96,309,Asia
2017,Saudi Arabia,21650,20408,142.8565714,98575,21034,278,4.55,309,Asia
2018,Saudi Arabia,23469,21598,146.9625803,22597,5976,129,0.96,309,Asia
1996,Serbia,814,809,28.44292531,7167,910,79,8.8,220,Europa
1997,Serbia,981,977,31.25699922,7255,1081,79,7.4,220,Europa
1998,Serbia,870,864,29.39387691,8902,1172,88,10.23,220,Europa
1999,Serbia,876,869,29.47880595,8541,1296,85,9.75,220,Europa
2000,Serbia,850,836,28.91366459,8876,1341,87,10.44,220,Europa
2001,Serbia,946,932,30.52867504,11300,1731,98,11.95,220,Europa
2002,Serbia,1170,1146,33.85262176,13746,1988,108,11.75,220,Europa
2003,Serbia,1162,1134,33.67491648,15141,2354,113,13.03,220,Europa
2004,Serbia,1347,1328,36.44173432,18061,3453,121,13.41,220,Europa
2005,Serbia,1901,1820,42.66145802,23509,4424,138,12.37,220,Europa
2006,Serbia,2096,2053,45.31004304,28417,5205,152,13.56,220,Europa
2007,Serbia,2541,2444,49.43682838,29106,5187,155,11.45,220,Europa
2008,Serbia,4045,3928,62.67375846,51654,11370,201,12.77,220,Europa
2009,Serbia,4812,4644,68.14690015,55633,12525,208,11.56,220,Europa
2010,Serbia,5455,5258,72.51206796,71156,14612,238,13.04,220,Europa
2011,Serbia,6478,6192,78.68926229,68349,16371,228,10.55,220,Europa
2012,Serbia,8184,7840,88.54377448,85222,17326,261,10.41,220,Europa
2013,Serbia,7765,7234,85.0529247,68945,14834,233,8.88,220,Europa
2014,Serbia,7704,7081,84.14867795,69657,12294,240,9.04,220,Europa
2015,Serbia,7505,6975,83.51646544,58748,9695,221,7.83,220,Europa
2016,Serbia,7877,7299,85.4341852,44714,7868,192,5.68,220,Europa
2017,Serbia,8104,7444,86.27861844,21983,4491,132,2.71,220,Europa
2018,Serbia,7797,7069,84.07734534,5525,1093,67,0.71,220,Europa
1996,Slovakia,2632,2612,51.10772936,32721,7025,160,12.43,263,Europa
1997,Slovakia,2483,2459,49.58830507,35126,6973,168,14.15,263,Europa
1998,Slovakia,2644,2619,51.17616633,32305,6493,161,12.22,263,Europa
1999,Slovakia,2672,2644,51.41984053,40378,6899,183,15.11,263,Europa
2000,Slovakia,2789,2739,52.33545643,35767,7292,169,12.82,263,Europa
2001,Slovakia,2750,2703,51.99038373,41467,7230,185,15.08,263,Europa
2002,Slovakia,2859,2808,52.9905652,40094,7568,180,14.02,263,Europa
2003,Slovakia,3042,2969,54.4885309,44739,7745,192,14.71,263,Europa
2004,Slovakia,3311,3260,57.09640969,54252,8546,214,16.39,263,Europa
2005,Slovakia,3559,3478,58.97457079,54790,8613,215,15.39,263,Europa
2006,Slovakia,3814,3712,60.92618485,63025,9434,231,16.52,263,Europa
2007,Slovakia,4173,4052,63.65532185,63084,9176,232,15.12,263,Europa
2008,Slovakia,4757,4604,67.85278181,66523,10429,237,13.98,263,Europa
2009,Slovakia,4659,4498,67.06713055,54237,10546,209,11.64,263,Europa
2010,Slovakia,5219,5026,70.8942875,68590,12618,237,13.14,263,Europa
2011,Slovakia,5640,5418,73.60706488,58909,12649,215,10.44,263,Europa
2012,Slovakia,6301,6082,77.98717843,70752,13727,239,11.23,263,Europa
2013,Slovakia,6822,6535,80.83934686,57397,14329,208,8.41,263,Europa
2014,Slovakia,8043,7754,88.05679985,54518,13423,203,6.78,263,Europa
2015,Slovakia,7560,7282,85.33463541,48487,9822,197,6.41,263,Europa
2016,Slovakia,8501,8070,89.83317873,42870,8943,184,5.04,263,Europa
2017,Slovakia,8886,8450,91.92388155,20049,5223,122,2.26,263,Europa
2018,Slovakia,8240,7757,88.07383266,4561,1128,59,0.55,263,Europa
1996,Slovenia,1457,1438,37.92097045,22800,4282,136,15.65,278,Europa
1997,Slovenia,1590,1578,39.72404813,26945,4837,149,16.95,278,Europa
1998,Slovenia,1539,1526,39.06404997,29824,5266,157,19.38,278,Europa
1999,Slovenia,1896,1880,43.35896678,35235,6630,169,18.58,278,Europa
2000,Slovenia,2231,2208,46.9893605,39813,6972,181,17.85,278,Europa
2001,Slovenia,2148,2114,45.97825573,40740,6813,184,18.97,278,Europa
2002,Slovenia,2408,2375,48.73397172,47162,7993,198,19.59,278,Europa
2003,Slovenia,3001,2930,54.12947441,64173,8557,236,21.38,278,Europa
2004,Slovenia,2727,2654,51.51698749,50169,8168,205,18.4,278,Europa
2005,Slovenia,3331,3231,56.84188596,64455,10249,233,19.35,278,Europa
2006,Slovenia,3469,3327,57.68015257,73119,10187,251,21.08,278,Europa
2007,Slovenia,4000,3861,62.13694553,70276,11114,243,17.57,278,Europa
2008,Slovenia,4516,4320,65.7267069,77656,12721,255,17.2,278,Europa
2009,Slovenia,4901,4665,68.30080527,90472,11862,280,18.46,278,Europa
2010,Slovenia,5046,4800,69.2820323,84605,13169,267,16.77,278,Europa
2011,Slovenia,5714,5436,73.72923436,78764,13512,255,13.78,278,Europa
2012,Slovenia,6079,5653,75.18643495,86625,13132,271,14.25,278,Europa
2013,Slovenia,6189,5726,75.67033765,72793,11893,247,11.76,278,Europa
2014,Slovenia,6187,5783,76.04603869,62269,10136,228,10.06,278,Europa
2015,Slovenia,6370,5925,76.97402159,54840,8303,216,8.61,278,Europa
2016,Slovenia,6327,5887,76.72678802,45897,6167,199,7.25,278,Europa
2017,Slovenia,6506,5962,77.21398837,19957,3469,128,3.07,278,Europa
2018,Slovenia,6262,5729,75.69015788,5616,922,69,0.9,278,Europa
1996,Thailand,1244,1222,34.95711659,26592,3967,150,21.38,311,Asia
1997,Thailand,1437,1427,37.77565354,32417,5061,165,22.56,311,Asia
1998,Thailand,1634,1619,40.23679908,35973,5457,175,22.02,311,Asia
1999,Thailand,1826,1784,42.23742416,41104,6153,187,22.51,311,Asia
2000,Thailand,2283,2234,47.26520919,52286,7560,211,22.9,311,Asia
2001,Thailand,2359,2318,48.14561247,47594,7303,201,20.18,311,Asia
2002,Thailand,2939,2880,53.66563146,65260,9104,237,22.2,311,Asia
2003,Thailand,3405,3286,57.32364259,88287,11614,277,25.93,311,Asia
2004,Thailand,3984,3830,61.88699379,106964,13803,305,26.85,311,Asia
2005,Thailand,5098,4905,70.03570518,130062,15485,338,25.51,311,Asia
2006,Thailand,6155,5926,76.98051702,119981,17295,320,19.49,311,Asia
2007,Thailand,6847,6602,81.25269226,134494,19191,340,19.64,311,Asia
2008,Thailand,8097,7771,88.15327561,137235,20542,342,16.95,311,Asia
2009,Thailand,8706,8203,90.5704146,150471,22981,357,17.28,311,Asia
2010,Thailand,10192,9491,97.42176348,146474,23281,351,14.37,311,Asia
2011,Thailand,10874,10248,101.2324059,146350,23397,351,13.46,311,Asia
2012,Thailand,12396,11603,107.7172224,149298,24307,354,12.04,311,Asia
2013,Thailand,12511,11812,108.6830254,122722,21596,318,9.81,311,Asia
2014,Thailand,13675,12881,113.4944933,108147,20253,296,7.91,311,Asia
2015,Thailand,13194,12456,111.6064514,89133,17042,268,6.76,311,Asia
2016,Thailand,14887,13901,117.9025021,68557,13290,235,4.61,311,Asia
2017,Thailand,16447,15364,123.9516035,35083,7856,165,2.13,311,Asia
2018,Thailand,17943,16485,128.3939251,8581,2042,81,0.48,311,Asia
1996,Tunisia,452,446,21.11871208,4479,1201,57,9.91,174,Africa
1997,Tunisia,621,610,24.69817807,10815,1667,96,17.42,174,Africa
1998,Tunisia,690,678,26.03843313,11240,1767,97,16.29,174,Africa
1999,Tunisia,763,744,27.27636339,8792,2155,81,11.52,174,Africa
2000,Tunisia,843,830,28.80972058,11616,2606,95,13.78,174,Africa
2001,Tunisia,1025,998,31.591138,16430,3361,114,16.03,174,Africa
2002,Tunisia,1238,1217,34.88552709,17733,4037,117,14.32,174,Africa
2003,Tunisia,1376,1336,36.55133376,19474,4050,124,14.15,174,Africa
2004,Tunisia,1759,1721,41.48493703,22102,4908,131,12.57,174,Africa
2005,Tunisia,2236,2174,46.62617291,36980,6202,175,16.54,174,Africa
2006,Tunisia,2655,2571,50.70502934,32409,6712,160,12.21,174,Africa
2007,Tunisia,3106,3016,54.91812087,40500,8220,180,13.04,174,Africa
2008,Tunisia,3910,3612,60.09991681,47462,8945,196,12.14,174,Africa
2009,Tunisia,4405,4265,65.30696747,50187,10470,199,11.39,174,Africa
2010,Tunisia,4836,4630,68.04410334,58490,10635,219,12.09,174,Africa
2011,Tunisia,5347,5118,71.54019849,54189,10756,208,10.13,174,Africa
2012,Tunisia,5626,5298,72.78736154,47751,10838,192,8.49,174,Africa
2013,Tunisia,6228,5822,76.30203143,43652,10588,182,7.01,174,Africa
2014,Tunisia,6635,6317,79.47955712,45016,10884,185,6.78,174,Africa
2015,Tunisia,7354,6923,83.20456718,45458,9488,190,6.18,174,Africa
2016,Tunisia,8064,7651,87.46999486,32524,7062,160,4.03,174,Africa
2017,Tunisia,8725,8166,90.36592278,17208,4095,115,1.97,174,Africa
2018,Tunisia,8706,7790,88.26097665,4103,1034,55,0.47,174,Africa
1996,United Arab Emirates,406,397,19.92485885,6546,557,77,16.12,190,Asia
1997,United Arab Emirates,401,398,19.94993734,6853,553,79,17.09,190,Asia
1998,United Arab Emirates,441,436,20.88061302,6016,576,74,13.64,190,Asia
1999,United Arab Emirates,394,381,19.5192213,5598,509,71,14.21,190,Asia
2000,United Arab Emirates,506,493,22.20360331,7352,564,82,14.53,190,Asia
2001,United Arab Emirates,569,553,23.51595203,8987,836,90,15.79,190,Asia
2002,United Arab Emirates,619,600,24.49489743,9603,837,94,15.51,190,Asia
2003,United Arab Emirates,883,853,29.20616373,15013,1361,117,17,190,Asia
2004,United Arab Emirates,961,910,30.16620626,17252,1403,126,17.95,190,Asia
2005,United Arab Emirates,1244,1181,34.36568055,17511,1766,125,14.08,190,Asia
2006,United Arab Emirates,1458,1361,36.89173349,22550,1889,144,15.47,190,Asia
2007,United Arab Emirates,1491,1392,37.30951621,19577,1706,134,13.13,190,Asia
2008,United Arab Emirates,1718,1590,39.87480407,26408,2161,156,15.37,190,Asia
2009,United Arab Emirates,2036,1913,43.73785546,28364,2616,160,13.93,190,Asia
2010,United Arab Emirates,2444,2282,47.77028365,33429,2996,174,13.68,190,Asia
2011,United Arab Emirates,2778,2585,50.84289528,35838,3465,180,12.9,190,Asia
2012,United Arab Emirates,3248,2973,54.52522352,32440,4031,169,9.99,190,Asia
2013,United Arab Emirates,3566,3230,56.83308895,41553,4631,192,11.65,190,Asia
2014,United Arab Emirates,3792,3518,59.31273051,35944,4351,178,9.48,190,Asia
2015,United Arab Emirates,4869,4441,66.64082833,42043,4937,193,8.63,190,Asia
2016,United Arab Emirates,5462,4968,70.48404075,30933,4161,164,5.66,190,Asia
2017,United Arab Emirates,6348,5774,75.98684097,17152,2473,121,2.7,190,Asia
2018,United Arab Emirates,7297,6521,80.75270893,4230,783,59,0.58,190,Asia
1996,Uruguay,271,265,16.2788206,7355,1001,80,27.14,179,Sur America
1997,Uruguay,334,329,18.13835715,9093,1067,90,27.22,179,Sur America
1998,Uruguay,342,333,18.24828759,9508,1263,91,27.8,179,Sur America
1999,Uruguay,342,336,18.33030278,12197,1353,104,35.66,179,Sur America
2000,Uruguay,382,371,19.26136028,11805,1220,103,30.9,179,Sur America
2001,Uruguay,369,361,19,9975,1345,93,27.03,179,Sur America
2002,Uruguay,430,417,20.42057786,11439,1606,99,26.6,179,Sur America
2003,Uruguay,480,465,21.56385865,13037,1684,107,27.16,179,Sur America
2004,Uruguay,535,512,22.627417,15906,2135,117,29.73,179,Sur America
2005,Uruguay,620,580,24.08318916,15099,2035,114,24.35,179,Sur America
2006,Uruguay,639,598,24.45403852,14353,1844,112,22.46,179,Sur America
2007,Uruguay,679,641,25.3179778,16869,1896,122,24.84,179,Sur America
2008,Uruguay,807,766,27.67670501,22360,2244,142,27.71,179,Sur America
2009,Uruguay,893,843,29.03446228,18044,2552,124,20.21,179,Sur America
2010,Uruguay,950,879,29.64793416,17124,2323,122,18.03,179,Sur America
2011,Uruguay,1100,1027,32.04684072,19263,2657,129,17.51,179,Sur America
2012,Uruguay,1114,1042,32.28002478,29410,2135,165,26.4,179,Sur America
2013,Uruguay,1180,1081,32.87856445,15232,2244,114,12.91,179,Sur America
2014,Uruguay,1466,1350,36.74234614,14933,1978,114,10.19,179,Sur America
2015,Uruguay,1376,1277,35.73513677,20366,1655,137,14.8,179,Sur America
2016,Uruguay,1590,1479,38.45776905,10378,1209,96,6.53,179,Sur America
2017,Uruguay,1585,1417,37.64306045,4757,660,64,3,179,Sur America
2018,Uruguay,1745,1560,39.49683532,1060,203,29,0.61,179,Sur America
1996,Venezuela,1049,1038,32.21800739,17004,2409,121,16.21,205,Sur America
1997,Venezuela,1256,1248,35.32704347,20524,2906,133,16.34,205,Sur America
1998,Venezuela,1234,1220,34.92849839,24433,2880,147,19.8,205,Sur America
1999,Venezuela,1321,1308,36.16628264,23590,2888,144,17.86,205,Sur America
2000,Venezuela,1404,1379,37.13488926,21871,3115,137,15.58,205,Sur America
2001,Venezuela,1453,1424,37.73592453,25987,3355,150,17.89,205,Sur America
2002,Venezuela,1503,1477,38.4317577,24889,3184,147,16.56,205,Sur America
2003,Venezuela,1660,1613,40.16217126,35352,3189,179,21.3,205,Sur America
2004,Venezuela,1627,1573,39.66106403,33212,3279,173,20.41,205,Sur America
2005,Venezuela,1912,1835,42.83689998,31103,3536,166,16.27,205,Sur America
2006,Venezuela,1983,1911,43.71498599,26697,2637,155,13.46,205,Sur America
2007,Venezuela,2046,1964,44.31703961,27687,2875,158,13.53,205,Sur America
2008,Venezuela,2333,2230,47.22287581,26298,2731,154,11.27,205,Sur America
2009,Venezuela,2418,2299,47.94788838,24808,2575,149,10.26,205,Sur America
